kW,CH01,CH02,CH03,CH04,CH05,CH06,CH07
0,-,-,-,-,-,-,-
100,0,0,0.10629999999999998,0.4515,0.5063,0.5478999999999999,0.5148
200,0.5804,0.26559999999999995,0.3973,1.0915000000000001,0.9253,0.9569,1.1548
300,1.1604,0.6556,0.6823,1.7115000000000002,1.3303,1.3519,1.7748000000000002
400,1.7204,1.0335999999999999,0.9612999999999999,2.3115,1.7213,1.7329,2.3748
500,2.2603999999999997,1.3996000000000002,1.2343,2.8915,2.0983000000000005,2.0999,2.9547999999999996
600,2.7804,1.7536000000000003,1.5013,3.4515000000000007,2.4613,2.4529,3.5148000000000006
700,3.2804,2.0956,1.7623000000000002,3.9915000000000003,2.8103000000000002,2.7918999999999996,4.0548
800,3.7604,2.4256,2.0172999999999996,4.511500000000001,3.1453,3.1169,4.574800000000001
900,4.220400000000001,2.7436,2.2663,5.011500000000001,3.4663000000000004,3.4278999999999997,5.074800000000001
1000,4.6604,3.0495999999999994,2.5093,5.4915,3.7733000000000003,3.7248999999999994,5.5548
1100,5.0804,3.3436000000000003,2.7463,5.9515,4.0663,4.0079,6.014799999999999
1200,5.480400000000001,3.625600000000001,2.9773,6.3915000000000015,4.3453,4.2769,6.454800000000001
1300,5.8604,3.8956,3.2022999999999997,6.811500000000001,4.6103000000000005,4.5319,6.874800000000001
1400,6.220400000000001,4.1536,3.4212999999999996,7.211500000000001,4.8613,4.7729,7.274800000000002
1500,6.5604,4.3996,3.6343,7.591500000000001,5.0983,4.9999,7.654800000000001
1600,6.880400000000001,4.6336,3.8413,7.9515,5.3213,5.2129,8.014800000000001
1700,7.1804000000000014,4.8556,4.042300000000001,8.2915,5.5303,5.4119,8.354800000000001
1800,7.4604,5.0656,4.237300000000001,8.6115,5.725300000000001,5.5969,8.674800000000001
1900,7.7204000000000015,5.2636,4.4263,8.9115,5.906300000000002,5.7679,8.974800000000002
2000,7.9604,5.4496,4.6093,9.1915,6.073300000000001,5.9249,9.2548
2100,8.1804,5.6236000000000015,4.786300000000001,9.4515,6.2263,6.067899999999999,9.514800000000001
2200,8.3804,5.7856000000000005,4.957300000000001,9.691500000000001,6.3652999999999995,6.196900000000001,9.754800000000003
2300,8.5604,5.935600000000001,5.122300000000001,9.9115,6.490300000000001,6.311900000000001,9.974800000000002
2400,8.720400000000001,6.073600000000001,5.281300000000001,10.111500000000001,6.6013,6.4129000000000005,10.174800000000001
2500,8.8604,6.1996,5.4343,10.2915,6.698300000000001,6.499900000000001,10.354800000000001
2600,8.9804,6.3136,5.581300000000001,10.451500000000001,6.781300000000001,6.5729,10.514800000000001
2700,9.080400000000003,6.4156,5.722300000000001,10.5915,6.850300000000001,6.6319,10.654800000000002
2800,9.160400000000001,6.5056,5.8573,10.711500000000003,6.9053,6.6769,10.774800000000003
2900,9.2204,6.5836,5.986300000000002,10.811499999999999,6.946300000000001,6.7079,10.874799999999999
3000,9.260399999999999,6.6496,6.109300000000001,10.8915,6.973300000000001,6.724900000000001,10.954800000000002
3100,9.280400000000002,6.7036,6.226300000000001,10.9515,6.9863,6.7279,11.014800000000001
3200,9.280400000000002,6.7456000000000005,6.337300000000001,10.991500000000002,6.9853000000000005,6.716900000000001,11.054800000000006
3300,9.260399999999999,6.7756,6.442300000000001,11.0115,6.970300000000001,6.6918999999999995,11.0748
3400,9.220400000000003,6.7936000000000005,6.5413000000000014,11.011500000000002,6.941300000000002,6.652900000000001,11.074800000000003
3500,9.160400000000003,6.7996,6.6343000000000005,10.9915,6.898300000000001,6.599900000000002,11.0548
3600,9.080400000000001,6.793599999999999,6.721300000000001,-,-,-,11.014800000000001
3700,8.9804,6.775600000000002,6.802300000000001,-,-,-,10.954799999999999
3800,8.860400000000002,6.7456,6.8773,-,-,-,10.8748
3900,8.720400000000001,6.7036,6.946300000000002,-,-,-,10.774800000000003
4000,8.5604,6.6496,7.0093000000000005,-,-,-,10.654800000000002
4100,8.380400000000003,6.583599999999999,7.066300000000001,-,-,-,10.514800000000005
4200,8.1804,6.505600000000003,7.1173,-,-,-,10.354800000000001
4300,7.960400000000002,6.4155999999999995,7.162300000000001,-,-,-,10.174800000000005
4400,7.720400000000003,6.313600000000001,7.2013000000000025,-,-,-,9.974800000000005
4500,7.460400000000002,6.1996,7.2343,-,-,-,9.754800000000003
