kW,CH01+CH02+CH03+CH04+CH05+CH06+CH07
0,-
100,-
200,-
300,-
400,-
500,-
600,-
700,-
800,-
900,-
1000,-
1100,-
1200,-
1300,-
1400,-
1500,-
1600,-
1700,-
1800,-
1900,-
2000,-
2100,-
2200,-
2300,-
2400,-
2500,-
2600,-
2700,-
2800,-
2900,-
3000,-
3100,-
3200,-
3300,-
3400,-
3500,-
3600,-
3700,-
3800,-
3900,-
4000,-
4100,-
4200,-
4300,-
4400,-
4500,-
4600,-
4700,-
4800,-
4900,-
5000,-
5100,-
5200,-
5300,-
5400,-
5500,-
5600,-
5700,-
5800,-
5900,-
6000,-
6100,-
6200,-
6300,-
6400,-
6500,-
6600,-
6700,-
6800,-
6900,-
7000,-
7100,-
7200,-
7300,-
7400,-
7500,-
7600,-
7700,-
7800,-
7900,-
8000,-
8100,-
8200,-
8300,-
8400,-
8500,-
8600,-
8700,4.594494288310851
8800,4.647304567486838
8900,4.700114846662824
9000,4.752925125838812
9100,4.805735405014798
9200,4.82161118251068
9300,4.874019999711883
9400,4.926428816913086
9500,4.940811051607858
9600,4.992819588993203
9700,5.044828126378549
9800,5.055476939543833
9900,5.107063438926933
10000,5.158649938310034
10100,5.210236437693134
10200,5.261822937076234
10300,5.272071539120748
10400,5.323256699694737
10500,5.328375761203221
10600,5.379122197024204
10700,5.429868632845187
10800,5.48061506866617
10900,5.531361504487153
11000,5.582107940308136
11100,5.537943404012304
11200,5.587834786030433
11300,5.6377261680485615
11400,5.68761755006669
11500,5.737508932084819
11600,5.787400314102948
11700,5.7821376010116365
11800,5.831557580507462
11900,5.833795604111305
12000,5.882819096582829
12100,5.9318425890543525
12200,5.9808660815258765
12300,5.970689338034731
12400,6.019231527774851
12500,6.067773717514971
12600,6.116315907255091
12700,6.164858096995211
12800,6.162492325725578
12900,6.210636797020309
13000,6.195114605091498
13100,6.242769332822971
13200,6.290424060554444
13300,6.338078788285917
13400,6.38573351601739
13500,6.433388243748863
13600,6.359178722715267
13700,6.4059373897940555
13800,6.452696056872845
13900,6.499454723951633
14000,6.546213391030422
14100,6.59297205810921
14200,6.567024200384308
14300,6.61327084968279
14400,6.603102671430474
14500,6.6489575510931855
14600,6.6948124307558965
14700,6.740667310418608
14800,6.78652219008132
14900,6.7552147074843685
15000,6.8005517189439955
15100,6.845888730403622
15200,6.83149956347655
15300,6.876443639552053
15400,6.921387715627557
15500,6.885252643941809
15600,6.929673628741433
15700,6.974094613541058
15800,7.018515598340683
15900,7.062936583140307
16000,7.0442938132376
16100,7.003344338442417
16200,7.0468433716004455
16300,7.090342404758473
16400,7.1338414379165
16500,7.177340471074528
16600,7.220839504232555
16700,7.264338537390582
16800,7.216807599289495
16900,7.194589230613787
17000,7.237160764522745
17100,7.279732298431702
17200,7.322303832340659
17300,7.364875366249617
17400,7.312420938421981
17500,7.354446346114061
17600,7.396471753806142
17700,7.370066069232895
17800,7.411704860584494
17900,7.453343651936092
18000,7.395955253068447
18100,7.437043893363271
18200,7.478132533658097
18300,7.519221173952921
18400,7.560309814247746
18500,7.529693729893531
18600,7.570394777082146
18700,7.507501598593912
18800,7.547648665966071
18900,7.587795733338232
19000,7.627942800710391
19100,7.668089868082552
19200,7.708236935454711
19300,7.565758842148023
19400,7.604959665164333
19500,7.644160488180645
19600,7.683361311196956
19700,7.722562134213267
19800,7.761762957229577
19900,7.687036804695329
20000,7.725665130347064
20100,7.688249692242371
20200,7.726499690711239
20300,7.764749689180106
20400,7.802999687648974
20500,7.723083310982699
20600,7.7607568881094435
20700,7.798430465236189
20800,7.836104042362933
20900,7.873777619489679
21000,7.8318755484974485
21100,7.869170193966484
21200,7.7834289742626845
21300,7.820143261877131
21400,7.856857549491578
21500,7.893571837106025
21600,7.930286124720471
21700,7.967000412334918
21800,7.793593394874235
21900,7.829343823291089
22000,7.865094251707944
22100,7.9008446801247985
22200,7.936595108541653
22300,7.972345536958507
22400,7.873461280828366
22500,7.90861066154635
22600,7.860717283477736
22700,7.8954992183603805
22800,7.930281153243025
22900,7.96506308812567
23000,7.999845023008315
23100,7.894699449847493
23200,7.92887563794207
23300,7.963051826036648
23400,7.911237158002509
23500,7.945045863805938
23600,7.978854569609368
23700,7.867934860689099
23800,7.901132898075972
23900,7.934330935462846
24000,7.96752897284972
24100,8.000727010236593
24200,7.945005662191722
24300,7.828180459082997
24400,7.860395193482515
24500,7.892609927882034
24600,7.924824662281552
24700,7.957039396681071
24800,7.989254131080589
24900,8.021468865480108
25000,7.8947641901340715
25100,7.837735651650768
25200,7.868961690103561
25300,7.900187728556353
25400,7.931413767009144
25500,7.9626398054619365
25600,7.829461098631786
25700,7.860044931048317
25800,7.890628763464847
25900,7.829999112866264
26000,7.860230769672698
26100,7.8904624264791305
26200,7.750585997350416
26300,7.78016838665328
26400,7.809750775956144
26500,7.839333165259008
26600,7.868915554561872
26700,7.804740348242524
26800,7.83397158550186
26900,7.686480385307832
27000,7.71505466183314
27100,7.743628938358448
27200,7.772203214883755
27300,7.800777491409064
27400,7.829351767934371
27500,7.578712776871649
27600,7.6062717324239095
27700,7.633830687976171
27800,7.661389643528431
27900,7.688948599080692
28000,7.716507554632952
28100,7.549640841629291
28200,7.576507890887759
28300,7.50962626578338
28400,7.536162047641271
28500,7.562697829499164
28600,7.589233611357055
28700,7.41396684532743
28800,7.439799482419163
28900,-
29000,-
29100,-
29200,-
29300,-
29400,-
29500,-
29600,-
29700,-
29800,-
29900,-
30000,-
30100,-
30200,-
30300,-
